index,mot,phoneme
0_11_18,uuːwːəː,u
0_11_18,uuːwːəː,u
0_11_18,uuːwːəː,w
0_11_18,u,u
0_11_18,aəːəː,a
0_11_18,aəːəː,ə
0_11_18,aəːəː,ə
0_11_18,əːəː,ə
0_11_18,əːəː,ə
0_11_18,əːəː,ə
0_11_18,əːəː,ə
0_11_18,əə,ə
0_11_18,əə,ə
0_11_18,əː,ə
0_11_18,əː,ə
0_11_18,hə,ə
0_11_18,həe,e
0_11_18,həe,ə
0_11_18,ha,a
0_11_18,na,a
0_11_18,na,n
0_11_18,ə,ə
0_11_18,ə,ə
0_11_18,ə,ə
0_11_18,mmm,m
0_11_18,mmm,m
0_11_18,mmm,m
0_11_18,aːaːja,a
0_11_18,aːaːja,a
0_11_18,aːaːja,a
0_11_18,aːaːja,j
0_11_18,əːəː,ə
0_11_18,əːəː,ə
0_11_18,əːəː,ə
0_11_18,əːəː,ə
0_11_18,papa,a
0_11_18,papa,a
0_11_18,papa,p
0_11_18,papa,p
0_11_18,papa,a
0_11_18,papa,a
0_11_18,papa,p
0_11_18,papa,p
0_11_18,pa,a
0_11_18,pa,p
0_11_18,a,a
0_11_18,a,a
0_11_18,ə,ə
0_11_18,m,m
0_11_18,m,m
0_11_18,ɔ,ɔ
0_11_18,baba,a
0_11_18,baba,a
0_11_18,baba,b
0_11_18,baba,b
0_11_18,əː,ə
0_11_18,əəə,ə
0_11_18,əəə,ə
0_11_18,əəə,ə
0_11_18,ə,ə
0_11_18,baa,a
0_11_18,baa,a
0_11_18,baa,b
0_11_18,əəəə,ə
0_11_18,əəəə,ə
0_11_18,əəəə,ə
0_11_18,əəəə,ə
0_11_18,wu,u
0_11_18,wu,w
0_11_18,ububu,u
0_11_18,ububu,u
0_11_18,ububu,u
0_11_18,ububu,b
0_11_18,ububu,b
0_11_18,bala,a
0_11_18,bala,a
0_11_18,bala,l
0_11_18,bala,b
0_11_18,ejajaja,a
0_11_18,ejajaja,a
0_11_18,ejajaja,a
0_11_18,ejajaja,e
0_11_18,ejajaja,j
0_11_18,ejajaja,j
0_11_18,ejajaja,j
0_11_18,papapapapapapapa,a
0_11_18,papapapapapapapa,a
0_11_18,papapapapapapapa,a
0_11_18,papapapapapapapa,a
0_11_18,papapapapapapapa,a
0_11_18,papapapapapapapa,a
0_11_18,papapapapapapapa,a
0_11_18,papapapapapapapa,a
0_11_18,papapapapapapapa,p
0_11_18,papapapapapapapa,p
0_11_18,papapapapapapapa,p
0_11_18,papapapapapapapa,p
0_11_18,papapapapapapapa,p
0_11_18,papapapapapapapa,p
0_11_18,papapapapapapapa,p
0_11_18,papapapapapapapa,p
0_11_18,aə,a
0_11_18,aə,ə
0_11_18,ee,e
0_11_18,ee,e
0_11_18,əə,ə
0_11_18,əə,ə
0_11_18,həhə,ə
0_11_18,həhə,ə
0_11_18,aha,a
0_11_18,aha,a
