index,mot,phoneme
1_00_05,ejɛajajajajajajɛɛ,j
1_00_05,ejɛajajajajajajɛɛ,j
1_00_05,ejɛajajajajajajɛɛ,j
1_00_05,ejɛajajajajajajɛɛ,j
1_00_05,ejɛajajajajajajɛɛ,j
1_00_05,nenenenenja,a
1_00_05,nenenenenja,e
1_00_05,nenenenenja,e
1_00_05,nenenenenja,e
1_00_05,nenenenenja,e
1_00_05,nenenenenja,n
1_00_05,nenenenenja,n
1_00_05,nenenenenja,n
1_00_05,nenenenenja,n
1_00_05,nenenenenja,n
1_00_05,nenenenenja,j
1_00_05,øgagagagaga,a
1_00_05,øgagagagaga,a
1_00_05,øgagagagaga,a
1_00_05,øgagagagaga,a
1_00_05,øgagagagaga,a
1_00_05,øgagagagaga,ø
1_00_05,øgagagagaga,g
1_00_05,øgagagagaga,g
1_00_05,øgagagagaga,g
1_00_05,øgagagagaga,g
1_00_05,øgagagagaga,g
1_00_05,øga,a
1_00_05,øga,ø
1_00_05,øga,g
1_00_05,nana,a
1_00_05,nana,a
1_00_05,nana,n
1_00_05,nana,n
1_00_05,ga,a
1_00_05,ga,g
1_00_05,a,a
1_00_05,ɔːmaː,a
1_00_05,ɔːmaː,m
1_00_05,ɔːmaː,ɔ
1_00_05,øgaga,a
1_00_05,øgaga,a
1_00_05,øgaga,ø
1_00_05,øgaga,g
1_00_05,øgaga,g
1_00_05,bølala,a
1_00_05,bølala,a
1_00_05,bølala,l
1_00_05,bølala,l
1_00_05,bølala,b
1_00_05,bølala,ø
1_00_05,ala,a
1_00_05,ala,a
1_00_05,ala,l
1_00_05,m,m
1_00_05,maːmmmœmœmː,a
1_00_05,maːmmmœmœmː,m
1_00_05,maːmmmœmœmː,m
1_00_05,maːmmmœmœmː,m
1_00_05,maːmmmœmœmː,m
1_00_05,maːmmmœmœmː,m
1_00_05,maːmmmœmœmː,m
1_00_05,maːmmmœmœmː,œ
1_00_05,maːmmmœmœmː,œ
1_00_05,øgalaøwa,a
1_00_05,øgalaøwa,a
1_00_05,øgalaøwa,a
1_00_05,øgalaøwa,l
1_00_05,øgalaøwa,w
1_00_05,øgalaøwa,ø
1_00_05,øgalaøwa,ø
1_00_05,øgalaøwa,g
1_00_05,la,a
1_00_05,la,l
1_00_05,œgaga,a
1_00_05,œgaga,a
1_00_05,œgaga,œ
1_00_05,œgaga,g
1_00_05,œgaga,g
1_00_05,œga,a
1_00_05,œga,œ
1_00_05,œga,g
1_00_05,œga,a
1_00_05,œga,œ
1_00_05,œga,g
1_00_05,gagaga,a
1_00_05,gagaga,a
1_00_05,gagaga,a
1_00_05,gagaga,g
1_00_05,gagaga,g
1_00_05,gagaga,g
1_00_05,ma,a
1_00_05,ma,m
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,a,a
1_00_05,aː,a
1_00_05,a,a
1_00_05,gagagaga,a
1_00_05,gagagaga,a
1_00_05,gagagaga,a
1_00_05,gagagaga,a
1_00_05,gagagaga,g
1_00_05,gagagaga,g
1_00_05,gagagaga,g
1_00_05,gagagaga,g
