index,mot,phoneme
1_00_09,dadaː,d
1_00_09,dadaː,d
1_00_09,ad,a
1_00_09,ad,d
1_00_09,ɔ,ɔ
1_00_09,øː,ø
1_00_09,aːjɛ,a
1_00_09,aːjɛ,ɛ
1_00_09,aːjɛ,j
1_00_09,ajeː,a
1_00_09,ajeː,e
1_00_09,ajeː,j
1_00_09,a,a
1_00_09,aːje,a
1_00_09,aːje,e
1_00_09,aːje,j
1_00_09,aː,a
1_00_09,œ,œ
1_00_09,œ.,œ
1_00_09,aiː,a
1_00_09,aiː,i
1_00_09,aiː,a
1_00_09,aiː,i
1_00_09,agiː,a
1_00_09,agiː,i
1_00_09,agiː,g
1_00_09,aː,a
1_00_09,a,a
1_00_09,a,a
1_00_09,a,a
1_00_09,aː,a
1_00_09,ɔː,ɔ
1_00_09,aːœ,a
1_00_09,aːœ,œ
1_00_09,aːœ,a
1_00_09,aːœ,œ
1_00_09,œ,œ
1_00_09,aji,a
1_00_09,aji,i
1_00_09,aji,j
1_00_09,œː,œ
1_00_09,aː,a
1_00_09,a,a
1_00_09,eː,e
1_00_09,eː,e
1_00_09,aː,a
1_00_09,vuː,u
1_00_09,vuː,v
1_00_09,aiː,a
1_00_09,aiː,i
1_00_09,aiː,a
1_00_09,aiː,i
1_00_09,ebœː,e
1_00_09,ebœː,b
1_00_09,ebœː,œ
1_00_09,ɛ,ɛ
1_00_09,œːtɔ,t
1_00_09,œːtɔ,ɔ
1_00_09,œːtɔ,œ
1_00_09,œgɔ,ɔ
1_00_09,œgɔ,œ
1_00_09,œgɔ,g
1_00_09,aːɔː,a
1_00_09,aːɔː,ɔ
1_00_09,aː,a
1_00_09,jɔ,ɔ
1_00_09,jɔ,j
1_00_09,iː,i
1_00_09,ɔ,ɔ
1_00_09,œ,œ
1_00_09,œː,œ
1_00_09,œ,œ
1_00_09,œ,œ
1_00_09,œ,œ
1_00_09,œœ,œ
1_00_09,œœ,œ
1_00_09,œ,œ
1_00_09,œː,œ
1_00_09,aː,a
1_00_09,ɔla,a
1_00_09,ɔla,l
1_00_09,ɔla,ɔ
1_00_09,aːj,a
1_00_09,aːj,j
1_00_09,aj,a
1_00_09,aj,j
1_00_09,a,a
1_00_09,a,a
1_00_09,dɔp,p
1_00_09,dɔp,d
1_00_09,dɔp,ɔ
1_00_09,œː,œ
1_00_09,œː,œ
1_00_09,ɛː,ɛ
1_00_09,œ,œ
1_00_09,ɛj,ɛ
1_00_09,ɛj,j
1_00_09,ɛ,ɛ
1_00_09,œ,œ
1_00_09,aː,a
1_00_09,jɛ,ɛ
1_00_09,jɛ,j
1_00_09,a,a
1_00_09,ɛ,ɛ
1_00_09,œ,œ
1_00_09,a,a
